Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Paulding,6.12,6.12,4.52,6.39,7.06,12.40,10.80,15.84,15.64,14.25,18.29,25.29,15.99,17.93,11.56,24.84,17.08,19.25
Peach,0.00,8.45,8.35,16.53,0.00,4.07,8.18,15.89,0.00,11.10,11.01,18.05,7.26,0.00,14.89,0.00,15.00,3.75
Pickens,4.35,8.70,16.34,15.64,11.24,10.92,10.66,3.42,9.87,9.66,12.79,33.98,6.79,13.64,10.16,20.01,9.90,16.22
Pierce,6.40,6.40,12.65,6.25,12.32,11.97,17.51,11.49,11.20,22.01,16.15,5.33,10.67,5.30,10.53,36.83,5.23,26.08
Pike,21.92,7.31,0.00,6.84,0.00,0.00,6.26,0.00,11.63,0.00,5.64,5.60,16.86,0.00,5.62,5.63,11.15,5.57
Polk,5.25,10.49,5.16,12.69,12.62,22.53,9.93,17.10,12.06,16.63,14.19,26.52,21.80,19.46,14.61,14.65,16.91,19.15
Pulaski,10.43,0.00,10.41,0.00,10.35,0.00,0.00,20.49,20.40,0.00,0.00,0.00,8.43,0.00,34.67,0.00,0.00,35.55
Putnam,0.00,0.00,5.23,15.60,10.38,5.13,5.10,20.11,0.00,0.00,14.64,9.43,9.41,18.91,32.91,9.47,14.10,4.66
Quitman,0.00,0.00,0.00,0.00,0.00,0.00,38.48,37.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.42,0.00
Rabun,6.64,6.64,6.50,25.72,12.64,25.10,0.00,6.12,24.15,12.00,36.12,12.29,24.57,6.13,18.51,30.84,18.44,12.08
Randolph,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Richmond,4.00,3.50,3.51,9.04,8.57,7.58,5.59,12.68,9.63,11.54,12.51,16.95,11.47,15.36,10.94,12.93,22.84,24.30
Rockdale,2.85,9.98,4.18,8.22,17.41,5.24,7.71,15.07,12.22,9.59,9.46,10.56,14.03,15.18,13.85,13.71,13.53,21.26
Schley,0.00,0.00,0.00,0.00,26.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.06,0.00,0.00,0.00,0.00
Screven,0.00,6.50,0.00,0.00,6.60,0.00,0.00,13.31,19.94,0.00,0.00,20.56,0.00,0.00,0.00,7.13,7.08,7.12
Seminole,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.19,0.00,33.82,23.18,0.00,0.00
Spalding,1.71,3.42,13.56,3.34,6.63,18.11,4.90,11.25,12.69,14.04,17.00,9.36,12.48,26.68,12.57,14.09,20.31,16.97
Stephens,3.93,3.93,11.74,7.82,11.84,11.93,7.98,15.90,31.73,23.47,23.35,22.92,27.19,27.24,11.74,27.54,23.53,19.42
Stewart,0.00,0.00,19.33,19.62,0.00,0.00,0.00,0.00,21.79,0.00,21.94,0.00,0.00,0.00,0.00,0.00,17.35,35.06
