,Counties,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total,Rural
128,Effingham,0,0,3 ,1 ,1 ,1 ,1 ,1 ,2 ,1 ,2 ,5 ,3 ,3 ,6 ,2 ,2 ,5 ,39 ,0
129,Fayette,1 ,1 ,1 ,2 ,3 ,2 ,5 ,2 ,4 ,4 ,9 ,7 ,9 ,4 ,4 ,12 ,14 ,6 ,90 ,0
130,Floyd,0,4 ,4 ,4 ,2 ,3 ,7 ,0,8 ,8 ,3 ,13 ,11 ,11 ,13 ,6 ,9 ,10 ,116 ,0
131,Forsyth,3 ,1 ,2 ,5 ,0,2 ,4 ,5 ,12 ,10 ,9 ,14 ,21 ,15 ,22 ,24 ,28 ,13 ,190 ,0
132,Fulton,32 ,38 ,62 ,33 ,58 ,44 ,50 ,41 ,50 ,70 ,48 ,53 ,60 ,60 ,71 ,96 ,108 ,130 ,"1,104 ",0
133,Glynn,2 ,1 ,1 ,1 ,0,1 ,0,2 ,5 ,4 ,4 ,0,2 ,5 ,8 ,4 ,4 ,6 ,50 ,0
134,Gordon,2 ,3 ,1 ,2 ,2 ,1 ,1 ,0,2 ,3 ,6 ,3 ,10 ,5 ,5 ,4 ,1 ,7 ,58 ,0
135,Gwinnett,5 ,10 ,17 ,15 ,14 ,15 ,16 ,17 ,25 ,28 ,29 ,47 ,31 ,38 ,57 ,49 ,75 ,61 ,549 ,0
136,Habersham,1 ,0,0,0,2 ,1 ,3 ,0,4 ,3 ,6 ,6 ,0,6 ,3 ,1 ,1 ,5 ,42 ,0
137,Hall,1 ,1 ,2 ,6 ,5 ,8 ,4 ,9 ,8 ,7 ,14 ,11 ,9 ,10 ,8 ,11 ,12 ,12 ,138 ,0
138,Henry,1 ,2 ,4 ,2 ,4 ,4 ,4 ,8 ,4 ,9 ,17 ,7 ,17 ,11 ,9 ,14 ,17 ,25 ,159 ,0
139,Houston,0,2 ,0,2 ,3 ,0,0,1 ,2 ,2 ,4 ,5 ,4 ,2 ,3 ,4 ,4 ,5 ,43 ,0
140,Jackson,0,1 ,3 ,3 ,5 ,7 ,2 ,1 ,6 ,7 ,11 ,10 ,8 ,9 ,8 ,6 ,16 ,7 ,110 ,0
141,Laurens,0,0,1 ,0,4 ,0,1 ,0,4 ,4 ,1 ,3 ,5 ,2 ,1 ,4 ,2 ,3 ,35 ,0
142,Liberty,0,1 ,1 ,0,0,2 ,2 ,1 ,2 ,2 ,3 ,2 ,1 ,4 ,5 ,3 ,3 ,4 ,36 ,0
143,Lowndes,1 ,1 ,2 ,0,0,1 ,2 ,1 ,0,2 ,2 ,4 ,6 ,5 ,2 ,1 ,2 ,5 ,37 ,0
144,Murray,0,2 ,3 ,1 ,0,0,3 ,2 ,4 ,6 ,5 ,3 ,13 ,2 ,3 ,6 ,6 ,3 ,62 ,0
145,Muscogee,0,2 ,1 ,4 ,7 ,2 ,2 ,1 ,2 ,4 ,11 ,15 ,12 ,13 ,8 ,18 ,9 ,10 ,121 ,0
146,Newton,0,0,3 ,2 ,2 ,4 ,4 ,3 ,4 ,1 ,8 ,5 ,9 ,6 ,9 ,5 ,6 ,7 ,78 ,0
147,Paulding,1 ,1 ,1 ,3 ,5 ,6 ,5 ,10 ,8 ,13 ,15 ,22 ,19 ,17 ,12 ,33 ,23 ,25 ,219 ,0
148,Polk,1 ,0,0,1 ,0,3 ,1 ,1 ,2 ,2 ,0,6 ,5 ,4 ,4 ,4 ,2 ,4 ,40 ,0
149,Richmond,1 ,1 ,0,7 ,8 ,3 ,4 ,3 ,7 ,8 ,10 ,16 ,5 ,7 ,3 ,17 ,28 ,34 ,162 ,0
150,Rockdale,1 ,1 ,1 ,1 ,5 ,2 ,2 ,1 ,1 ,4 ,3 ,1 ,3 ,7 ,5 ,5 ,6 ,9 ,58 ,0
151,Spalding,0,0,4 ,0,2 ,7 ,1 ,4 ,5 ,6 ,8 ,5 ,5 ,12 ,4 ,4 ,9 ,8 ,84 ,0
152,Thomas,0,0,1 ,0,0,1 ,0,0,0,0,2 ,0,0,1 ,1 ,0,1 ,3 ,10 ,0
153,Tift,0,0,0,0,0,0,0,0,0,0,0,1 ,1 ,0,0,1 ,3 ,2 ,8 ,0
154,Troup,0,1 ,0,2 ,1 ,4 ,0,2 ,3 ,1 ,4 ,5 ,9 ,5 ,4 ,11 ,8 ,6 ,66 ,0
155,Walker,0,0,0,3 ,4 ,4 ,8 ,0,4 ,4 ,4 ,6 ,8 ,7 ,7 ,8 ,4 ,10 ,81 ,0
156,Walton,0,0,3 ,1 ,3 ,3 ,3 ,1 ,2 ,6 ,1 ,8 ,4 ,12 ,13 ,11 ,16 ,12 ,99 ,0
157,Ware,0,0,1 ,1 ,0,2 ,2 ,2 ,0,4 ,7 ,1 ,4 ,1 ,2 ,13 ,3 ,1 ,44 ,0
158,Whitfield,0,0,2 ,3 ,1 ,8 ,2 ,0,3 ,12 ,7 ,8 ,10 ,9 ,7 ,3 ,9 ,5 ,89 ,0
