County,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Newton,50.6,46.3,37.2,44.4,40.8,38.7,38.7,48.2,44,48.6,56.2,40,38.6,97.7,273.8
Oconee,22,22,17.9,24.5,24.5,29.3,28.4,30.9,36.4,36,38.7,58.8,65.5,64,295.9
Oglethorpe,0,44.9,44.9,51.1,51.1,34.8,54.6,33.8,107.2,107.2,54.7,89.4,81.8,114.3,348.5
Paulding,36,38.9,41.4,30.1,48.9,37.4,52.5,59.7,65.2,70.4,58,51,53.7,151.1,443.4
Peach,36.6,36.6,28.2,20.2,35.3,60.5,33.1,43.7,28.8,57.5,18.1,37,29.7,93.6,405.2
Pickens,47.5,42,26.1,33,49.7,48.1,50.8,64.3,30.6,57.8,75.2,57.5,46.7,188.1,619.5
Pierce,43,43,43,43,43,50.2,65.9,48.5,53.1,37.3,31.8,42.2,42.1,130.9,297.3
Pike,0,0,0,0,36.2,29,39.7,28.2,39.1,39.1,50.5,73.1,67.5,144.9,295.4
Polk,92.1,51,55.6,100.4,61.9,78.5,89.4,65.2,77.1,60.7,48.6,43.7,41.3,158.9,526.6
Pulaski,47,47,47,47,47,0,0,0,50,50,50,50,52.3,96.5,284.4
Putnam,25.8,35.9,35.3,35.3,49.1,48.1,52.2,37.8,37.7,37.5,56.6,42.1,75.5,145.2,349.2
Quitman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabun,31.9,31.9,50.8,100.4,55.9,55.2,122.3,61.4,43,43,67.5,37,43.1,147.4,302
Randolph,64.7,64.7,64.7,64.7,64.7,64.7,130.8,77.6,78,78,78,78,82,83.4,236.9
Richmond,37.8,28.4,15.7,25.5,28,13.2,23.2,23.7,28.4,38.3,41.5,49.5,56.1,132.8,380.9
Rockdale,30.1,38.7,32.6,33.3,41.3,15.8,23.9,43.7,23.4,44.3,67.6,55.2,41,103.5,358.1
Schley,0,0,0,0,0,0,0,161.5,161.5,161.5,0,0,0,0,215.8
Screven,72.2,72.2,59.8,46.5,46.5,46.5,53.9,47,48.3,34.8,42.2,35.1,35.1,84.7,313.3
Seminole,0,0,0,0,0,0,0,0,0,0,0,0,0,69.4,188.9
Spalding,25.1,48.2,31.4,31.1,30.7,31.9,37.7,68.6,51.5,78.1,73.6,76.8,87.5,234.2,649.6
Stephens,23.4,35.4,71.1,55.3,54.9,46.8,46.1,88.2,76.4,84.7,73.4,50.6,35.3,121.2,376.7
Stewart,0,0,0,0,0,0,0,0,0,0,0,0,87,85.5,157.8
Sumter,27,18.1,18.2,30.7,27.5,30.3,24.2,33.6,24.4,15.4,38,31.9,22.4,52,144.8
Talbot,0,0,0,0,0,0,0,72.7,0,0,0,0,0,0,259.3
Taliaferro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.6
Tattnall,53.9,71.2,47.8,43.2,34.2,34.1,50.4,51.9,31.3,19.5,19.5,27.4,23.8,91.2,195.3
Taylor,79.2,79.2,78.5,78.5,0,0,0,0,0,105.9,105.9,105.9,105.9,192.1,376.6
Telfair,64.8,64.8,47.7,99.5,51.9,81.6,55.5,55.5,36.4,31.1,48.9,54.2,36.3,109.8,263.1
Terrell,51.5,51.5,51.5,51.5,51.5,51.5,51.8,51.8,51.8,51.8,51.8,51.8,51.8,65.8,178.4
Thomas,49.3,46.6,37.4,52.8,25.1,36.1,31.4,24.6,17.9,15.7,40.2,42.3,37.8,139.8,355.8
Tift,20.9,20.9,31.1,28.4,20.3,17.6,20.1,17.6,14.9,36.2,31.7,39.7,17.2,27,308.6
Toombs,46.1,42.3,34.4,37.7,67,36.8,32.9,92.3,65.9,58.3,36.6,47.7,40.3,110.1,514.8
Towns,52.5,102.6,50.6,50.6,50.6,124.4,95.4,76.6,95.3,75.4,152.5,55.7,72.1,80.5,307.3
Treutlen,72.2,72.2,0,0,0,0,0,0,0,73.3,73.3,73.3,73.3,73.3,316.4
Troup,16.6,11.5,9.7,11.1,18.8,44.7,34.9,40.6,38.7,28,39.4,33.3,44.6,137.6,510
Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286.4
Twiggs,0,0,0,0,0,0,0,0,0,57,59.2,82.5,60.1,131.1,465.1
Union,76.3,47.3,67.1,100.7,34.2,61.9,70.5,89,121.8,85.2,97.9,78.8,54.6,193.1,218.1
Upson,25.3,39.8,47.2,36.4,47.5,32.8,29.3,36.5,70.1,44.5,48.8,56.5,41.9,144.1,375.9
Walker,43,26.8,29.6,23,31.7,31.7,23.5,43.7,32,45,57.3,39.6,45.4,102.8,219.5
Walton,28.7,23.5,29.9,39.4,26,42.3,31.5,32.4,27.4,50.8,46.1,32.7,42.2,130.1,451.3
Ware,28.4,42.6,54.3,57.1,25.3,36.1,55.5,75,44,65.8,75.4,56,67.6,200.7,467.3
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.1
Washington,0,0,0,0,134.6,28.4,28.4,47.1,33.1,23.7,28.7,33.9,33.9,62.5,151.5
Wayne,36.6,57.4,46.1,21,51.9,51,53.3,16.7,43.2,95.6,62.7,79.8,56.8,186.2,461.7
Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.4
Wheeler,0,0,0,0,0,0,0,0,0,100.8,101.4,101.4,101.4,101.4,238.2
White,40.4,34.5,54.1,48.6,27.4,34.4,75.1,63.1,58.9,66,54.4,50.4,67.9,144.8,450.1
Whitfield,30.7,34.6,55.5,44.6,18.7,26.4,29.8,36.6,28.2,50.4,52.2,37.9,26.1,138.2,484.8
Wilcox,57,57,57,57,57,56.2,56.2,0,0,0,0,67,67,79,159.8
Wilkes,0,0,0,0,0,47.5,47.5,66.2,66.2,66.2,66.2,50,60.4,172.3,265.2
Wilkinson,0,0,0,0,0,0,0,0,73.4,73.4,125.3,125.3,125.3,229.4,417.4
Worth,22.9,86.9,86.9,73.8,64.3,55.4,32.3,45.9,37,45.6,59.8,28.2,33.4,96.6,294
