County,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Lee,18.1,20.6,22.4,25.2,23.2,25.4,17.9,17.8,14.5,10,15.7,18,17.2,19.7,22.8,21,13.6,12.6,13.6,12.5,13,7.3,11.5
Liberty,50.3,52.5,48.8,44.2,43.7,40.1,44.7,42.2,38.6,32.6,34.6,29.5,30.3,42,36.2,32.6,33,29.1,30,25,23.9,28.1,21.4
Lincoln,34.2,30.2,35.1,24.6,19,18.8,22.3,16.3,11.5,23,22,15.3,23.1,37.2,18.9,18.2,23.2,11.2,23.4,23.4,20.4,23.8,23.8
Long,34.2,55.3,57.9,35.5,43.6,38.3,39.1,46.7,27.8,17.5,35.8,30.6,13.5,19.2,21.3,17,15.1,22.9,22.3,18.5,15.5,16.2,12
Lowndes,35.8,37.1,36.5,32.8,31.6,36.9,29.7,31.6,26.7,30.6,29.3,27.2,30.7,32.9,31.8,28.5,26.2,21.5,18.3,17.7,15.7,14.2,14.3
Lumpkin,25.1,25,24.9,20.5,28.9,21.3,28.3,18.8,14.4,18.8,19,21.1,19.3,13.7,18.6,20.6,11.1,21.9,6.8,9.4,10.1,7.3,12.3
McDuffie,41.5,43.3,40.8,43.1,46.3,49.3,46.1,42.5,31.3,38.2,33.6,42.3,39.1,34.5,37.2,42,31.7,27.3,25,22.3,22.3,11.3,19.9
McIntosh,46.8,46.1,45.5,56.5,54.9,39.4,46.4,36.2,41.9,22.9,23.3,24.6,35,26,27.8,32.7,35.5,20.5,24.2,20,21.4,18.2,21.4
Macon,47.7,45.7,59.9,47.8,42.7,41.4,50.8,34.5,29.9,38.5,29.7,26.9,29.5,23.3,32.9,35.8,29.5,32,18.2,22.1,29,19.9,29
Madison,34,31.9,35.9,36,39.1,35.1,30.4,30.5,34.4,24,30.6,28.4,27.1,22.6,21.5,28.1,27.1,26.7,17.4,25.7,17.6,14.4,11.2
Marion,41.7,29.6,39.8,39.1,35.6,57,33.8,45.8,29.8,33.4,43.7,39.3,29.2,28.8,37.9,44.3,30.7,30.9,27.2,18.7,20.2,25.8,15.9
Meriwether,50.3,43.3,53.8,44.4,39.5,46.2,39.8,42.5,39.4,33.5,35.1,37.7,39.3,34.7,34.8,38.7,31.5,20,26.8,22.4,19.9,20.7,12.9
Miller,23.8,37,38.7,35.8,35.3,41.2,39.7,35,25.3,36.1,36.1,13.2,40,20.5,30,15.8,52.2,24.6,34.4,18.6,18.6,13.9,14.3
Mitchell,45.6,51.6,44.8,46.2,48.3,48,51.3,43.8,36.9,28.8,38.5,43.5,42.5,48.6,59.3,43.8,34.8,23.5,26.9,29.4,27.6,23.5,25.3
Monroe,43.7,22.7,28.3,25.1,32.4,34.5,36.6,27,22.5,20.3,22.3,17.2,19.8,19.5,22.2,21.9,16.8,20.1,13.6,10.4,13.8,10.8,12.7
Montgomery,37.9,30.4,53,33.5,29.1,38.4,43.2,40,30.4,37.8,34.3,17.5,19.7,29.5,25.8,31.2,27.1,27.9,22.4,18.4,18.3,14.5,24.5
